	Ctrl_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP.Olap_827_R3B2
ENSG00000000003.14|TSPAN6	4.98226910563884	5.27411416714011	5.17096291339589	5.07610142202787	5.00828976017628	5.24343404392508
ENSG00000000419.12|DPM1	5.40610992729762	5.43010504094096	5.67546799961765	5.22214676665926	5.56815605418157	5.29875881307618
ENSG00000000457.14|SCYL3	3.61275311472609	3.62438209872537	3.32570128754647	3.43562861433777	3.49092333624423	3.50830922142362
ENSG00000000460.17|C1orf112	5.14151469682308	4.93629986419426	4.55292474842274	4.62329702378917	4.98082579765448	4.64619236896015
ENSG00000001036.13|FUCA2	6.72340682439175	6.77834334301971	6.42731923588473	6.70729707359759	6.66383757755392	6.65434566089297
ENSG00000001084.12|GCLC	4.52989723456129	4.68347768375962	4.10359420264291	4.35057433872257	4.46059400199562	4.37317772784758
ENSG00000001167.14|NFYA	5.8138145514273	5.74968444280945	6.20058521700473	5.68710759677449	5.97088304319102	5.75471286081697
ENSG00000001460.18|STPG1	2.99011515054974	3.29608054417989	2.82984936457798	3.20964344448297	2.78938024531256	3.37346400658273
ENSG00000001461.17|NIPAL3	5.65191243368697	6.34536299533113	5.00677305314315	6.00421132700564	5.47897490321592	6.02515500136752
ENSG00000001497.16|LAS1L	6.13118471691955	6.0120840425244	5.8656519215661	6.00624581374508	6.06667122753396	5.9409120198436
ENSG00000001629.10|ANKIB1	6.96439672393384	6.850837328656	7.01409036488688	6.84241899909329	6.99501137087348	6.84086033741152
ENSG00000001630.17|CYP51A1	8.76291678192821	8.48880782163265	8.05059976183393	8.27611287829794	8.43375833720729	8.35546028463908
ENSG00000001631.15|KRIT1	5.99759254755052	5.89798034935276	5.93662711579048	5.71929135889159	5.84776592362908	5.92797976216359
ENSG00000002016.17|RAD52	4.12635929783085	4.40832712324861	4.85906591363451	4.45839846760591	4.38722488810374	4.5388505130562
ENSG00000002330.13|BAD	3.82500537152784	4.00763932507392	3.9250186352376	4.37582262523959	3.99921561590631	4.06752736263317
ENSG00000002549.12|LAP3	5.6400435739892	5.55921710775244	4.91975497818296	5.4844982770749	5.40850059172798	5.39325637677178
ENSG00000002586.20|CD99	5.87266727261144	5.69616605571426	7.38164151914143	6.35288258719653	6.31404433485218	6.33763438247965
ENSG00000002586.20|PAR|Y|CD99	5.87266727261144	5.69616605571426	7.38164151914143	6.35288258719653	6.31404433485218	6.33763438247965
ENSG00000002587.10|HS3ST1	3.04101485277685	3.43846127201014	2.09745709435065	3.1961035926639	2.79695177509171	3.08956663080907
ENSG00000002746.15|HECW1	3.37940511852013	3.47314858033037	2.51037867414118	3.2934884865216	3.20457677520625	3.12363365455039
ENSG00000002822.15|MAD1L1	4.98734863442335	4.50108404311978	4.09859852741882	4.73790927605188	4.92060479378625	4.24186544672066
ENSG00000002834.18|LASP1	7.0992299015911	7.10494170307911	7.22980750597637	7.09614197734852	7.11788854073232	7.14717200326522
ENSG00000002919.14|SNX11	3.87748110416837	4.26479994265693	4.17401887727291	4.14109586704397	4.02544518501426	4.20325271055683
ENSG00000003056.8|M6PR	6.95115854290106	6.88203835088977	6.84462553368407	6.76201791960377	6.95310496478646	6.76681520875287
ENSG00000003096.14|KLHL13	5.23993871300945	4.81835254711307	5.15660509956956	4.72851195426165	5.06670241082068	4.90500174615619
ENSG00000003137.8|CYP26B1	0.325119687237476	0.86938820922401	-0.178100123191251	1.13775209636998	0.419955850889912	0.657124083930196
ENSG00000003147.19|ICA1	3.42429968646465	3.64670444030574	3.08316164731312	3.1212214643078	3.23136481328604	3.40632880590962
ENSG00000003249.13|DBNDD1	5.92612712516299	6.12237624900823	4.87136633438625	6.05800331850293	5.6352032173199	5.8537332962103
ENSG00000003393.15|ALS2	5.99208547673192	5.86367698543455	5.84904203055932	5.75813519363207	5.94875576047295	5.78271408270598
ENSG00000003402.20|CFLAR	6.17367273223266	6.63962109469187	6.06866113614961	6.47488284569985	6.15185223437534	6.52656667001166
