ensemble	symbol	log2fc_LMP_827-Ctrl_827	pvalue_LMP_827-Ctrl_827	log2fc_LMP.Olap_827-Ctrl_827	pvalue_LMP.Olap_827-Ctrl_827	log2fc_LMP.Olap_827-LMP_827	pvalue_LMP.Olap_827-LMP_827	log2fc_LMP.Olap_827-Ola_827	pvalue_LMP.Olap_827-Ola_827	log2fc_Ola_827-Ctrl_827	pvalue_Ola_827-Ctrl_827	log2fc_treated_827-Ctrl_827	pvalue_treated_827-Ctrl_827
ENSG00000000003	TSPAN6	0.12604082479499	0.254641281816186	0.141800603712254	0.265244083301534	0.0154379717431885	0.869294200033399	-0.00432124233368469	0.962398447943605	0.145880905602492	0.216997803440531	0.136666255855779	0.0603110623136211
ENSG00000000419	DPM1	-0.14891295138691	0.278507407859191	-0.234179140015267	0.0999317039060844	-0.08349316814662	0.45406952032008	-0.102774552550998	0.270776877836061	-0.131376589566659	0.289076408492676	-0.171132112782123	0.0541056034877631
ENSG00000000457	SCYL3	-0.208982915958924	0.19766124351891	0.0437591262084327	0.774962463595555	0.243810145444758	0.0799657310215058	0.00552385483942208	0.96262775677049	0.0345601377668223	0.813051613405143	-0.0441877877226218	0.68069560777927
ENSG00000000460	C1orf112	-0.0470278624525884	0.802708968741529	-0.161985525825175	0.432002062484827	-0.118673506819695	0.36502181266767	-0.168604670934007	0.286624618348588	-7.54942874401365e-05	0.999737427223863	-0.0691526138188303	0.619822673954766
ENSG00000001036	FUCA2	0.129803966921863	0.319480748276576	0.108514841635349	0.385054920553684	-0.0219268048991941	0.765941695319308	0.109307536028925	0.133248022363378	0.00196915635241179	0.986583988917711	0.0805127055998467	0.293514536312133
ENSG00000001084	GCLC	0.00948829870877432	0.955787240569763	0.0973746309711316	0.592958947484332	0.0853341606664602	0.559122616514053	0.125902774133997	0.40852338672475	-0.0327030601923743	0.860403983147892	0.0252207663895705	0.838862650640441
ENSG00000001167	NFYA	-0.122911910874333	0.449304691575646	-0.265339510556074	0.0831866064398664	-0.141430742615546	0.217507853175475	-0.14353690341678	0.0949183456394454	-0.119217734465669	0.39065815800846	-0.168065811366237	0.0930679268853838
ENSG00000001460	STPG1	0.101856748594856	0.513554804703808	0.42197420395618	0.0289604945160328	0.319415071822069	0.0375393128653505	0.520846690861875	0.00434405490363082	-0.0924061370202018	0.587017275304889	0.147589764026277	0.349225137289056
ENSG00000001461	NIPAL3	0.370167855531625	0.107945963724082	0.745695372286194	0.00971782685119285	0.366420358501828	0.0254133838438242	0.549355749473995	0.00357703390537806	0.188600969045026	0.375885780923065	0.433647251797455	0.035888017815344
ENSG00000001497	LAS1L	0.0138333338744534	0.902380845843985	-0.034746598654702	0.761820511714106	-0.0463494656065908	0.529010734070737	0.0189978632667867	0.799272534793035	-0.0553952198736676	0.634883849446723	-0.0257109517128837	0.693946719602822
ENSG00000001629	ANKIB1	-0.153198291311983	0.116855797241232	-0.146450010176639	0.136852378414872	0.00305014457517494	0.964497633527836	-0.100797199112254	0.15317978005234	-0.0456637383568808	0.601978382128303	-0.114522853466952	0.0501380418585504
ENSG00000001630	CYP51A1	0.0474980164230008	0.821246946797195	-0.0415307939698568	0.839366239210387	-0.079586666289952	0.421096789551769	-0.143707799921982	0.287806453427537	0.108553409813828	0.646999889180704	0.0355504830060962	0.794098954148961
ENSG00000001631	KRIT1	-0.00866397396476604	0.923905961648679	-0.0795573148227753	0.487437160716273	-0.0712226217036527	0.497822187598012	-0.139797359688503	0.180658986201028	0.0628148862410765	0.524735668807627	-0.00991747932761555	0.896935465585471
ENSG00000002016	RAD52	-0.0524738585218634	0.817732711419707	0.00784426248823333	0.970724836790071	0.0643138918708575	0.556881783986504	0.180668545579745	0.124231828466003	-0.171851253940738	0.476053345221631	-0.0698197380837362	0.609241087123066
ENSG00000002330	BAD	0.108360082341836	0.458583190028145	0.23985886411356	0.162673298015803	0.130656060228481	0.46889649042844	0.0389635432951767	0.808662127000174	0.201145292377678	0.258434908593674	0.181229187882563	0.190332439473872
ENSG00000002549	LAP3	0.162689682523256	0.46684492320255	0.154431327369182	0.465623221049076	-0.00819062814768845	0.927920230999223	0.0369947979071226	0.691574940755198	0.114789391599574	0.613454806000416	0.142024541268666	0.264897792771574
ENSG00000002586	CD99	-0.274954789392616	0.564556464257363	-0.395857624666547	0.378606993494122	-0.125840157648991	0.65953262750537	-0.186703735134148	0.534175622953928	-0.205778155061758	0.679140959196942	-0.289471027439519	0.36413940075042
ENSG00000002586	PAR	-0.274954789392616	0.564556464257363	-0.395857624666547	0.378606993494122	-0.125840157648991	0.65953262750537	-0.186703735134148	0.534175622953928	-0.205778155061758	0.679140959196942	-0.289471027439519	0.36413940075042
ENSG00000002587	HS3ST1	0.490402871050406	0.125490775208777	0.589442167865263	0.0740804377646807	0.0823882798255315	0.570883072718793	0.470499417149679	0.0123138150210332	0.107794868186869	0.737600783659693	0.404343324826979	0.0799382823557169
ENSG00000002746	HECW1	0.234305465658042	0.421705564450546	0.249545306585206	0.380930481337708	0.000232167757834301	0.998685123799607	0.111202646250904	0.412421599995746	0.129508913847934	0.633432778667704	0.208397777525473	0.216552117048885
ENSG00000002822	MAD1L1	-0.238281422200246	0.388650003047066	-0.176958202946408	0.55515350354862	0.0508624735812369	0.760211711706324	-0.161994149879819	0.28869271849164	-0.0197040119199636	0.938396700413513	-0.144648419711011	0.419050081074644
ENSG00000002834	LASP1	0.0975030813714506	0.32004748891605	-0.0328232067828251	0.733052611979198	-0.126242553583188	0.118244174677276	-0.0379231429227662	0.560348551907985	0.0075776210252565	0.933560475819356	0.0228800417039903	0.701893191854472
ENSG00000002919	SNX11	0.0763716520391977	0.571104811932459	0.175436047716906	0.228036953960143	0.0997055631600254	0.335457784928268	0.18370408055127	0.0942348435747522	-0.00642022560389321	0.961381609759224	0.0816551626164257	0.352416118452779
ENSG00000003056	M6PR	-0.0820717284986614	0.397666259272772	-0.112557607324047	0.280255340576879	-0.0297900465889374	0.690259146085921	-0.0755252737313103	0.300868127545468	-0.0364220337250458	0.68960159689216	-0.07652378632124	0.182487606069404
ENSG00000003096	KLHL13	-0.308931318013787	0.0289350568717624	-0.34101670273404	0.021020941746843	-0.0323992868576157	0.745656356066073	-0.390821824934682	0.00323406324466409	0.054897854688007	0.609756554608354	-0.199043993881681	0.117819051478669
ENSG00000003137	CYP26B1	0.411827714982627	0.21901796243709	0.712473441654585	0.0540418751608905	0.293590165496447	0.368109588337843	0.674950219470971	0.0311035749947685	0.0280336494671347	0.927211689404128	0.410372830475348	0.173713294748558
